COVIDStatus,ZIP,Count
NEG,19152,466
NEG,19130,581
NEG,19128,517
POS,19138,228
POS,19122,113
POS,19149,286
NEG,19147,766
NEG,19114,408
NEG,19115,450
POS,19124,379
NEG,19154,548
NEG,19131,700
NEG,19103,516
POS,19143,442
NEG,19105,9
NEG,19104,637
NEG,19136,419
NEG,19142,401
NEG,19107,538
POS,19130,132
NEG,19116,375
NEG,19141,332
POS,19140,342
POS,19133,181
POS,19152,223
NEG,19150,328
NEG,19137,200
POS,19148,277
NEG,19132,561
POS,19101,11
NEG,19145,989
NEG,19123,387
NEG,19121,488
POS,19128,182
NEG,19129,177
POS,19129,56
NEG,19120,623
POS,19126,203
NEG,19134,581
POS,19151,288
NEG,19119,358
NEG,19148,1015
POS,19114,168
NEG,19127,79
POS,19125,99
NEG,19143,1061
NEG,19151,471
POS,19150,190
POS,19145,291
NEG,19118,145
NEG,19133,276
POS,19132,274
POS,19115,358
POS,19107,91
POS,19118,57
NEG,19138,376
NEG,19126,217
POS,19147,153
POS,19154,163
NEG,19125,351
POS,19119,191
NEG,19146,1009
NEG,19197,8
NEG,19106,214
POS,19134,249
POS,19141,236
NEG,19135,373
POS,19120,415
POS,19146,247
POS,19102,33
NEG,19139,648
POS,19111,397
POS,19106,35
POS,19103,112
NEG,19153,176
POS,19135,157
NEG,19102,120
POS,19123,139
POS,19142,243
NEG,19111,892
POS,19144,290
NEG,19140,622
POS,19136,325
NEG,19122,317
POS,19127,16
POS,19104,319
NEG,19101,9
POS,19121,197
POS,19131,422
NEG,19149,471
NEG,19124,620
POS,19153,93
POS,19137,20
NEG,19144,554
POS,19116,285
POS,19139,378
