ZIP,All Tests,Negatives,Positives,Positivity %,Zip Label,Latitude (generated),Longitude (generated)
19801,1,1,0,0,<5,39.7257,-75.5494
19543,2,2,0,0,<5,40.1672,-75.8967
19341,1,1,0,0,<5,40.0405,-75.6383
19197,8,8,0,0,<5,39.9532,-75.1736
19194,1,1,0,0,<5,39.9615,-75.1994
19182,1,1,0,0,<5,39.9457,-75.1436
19175,1,1,0,0,<5,39.9459,-75.1434
19154,143,119,24,0.167832168,24,40.0949,-74.9816
19153,53,40,13,0.245283019,13,39.8912,-75.2324
19152,100,85,15,0.15,15,40.0603,-75.0472
19151,151,114,37,0.245033113,37,39.9755,-75.2565
19150,86,69,17,0.197674419,17,40.0724,-75.1714
19149,132,107,25,0.189393939,25,40.0368,-75.0668
19148,333,290,43,0.129129129,43,39.9118,-75.1536
19147,338,285,53,0.156804734,53,39.9359,-75.154
19146,417,363,54,0.129496403,54,39.9393,-75.183
19145,319,269,50,0.156739812,50,39.9134,-75.1914
19144,174,146,28,0.160919540,28,40.0332,-75.1747
19143,328,266,62,0.189024390,62,39.9421,-75.2261
19142,104,75,29,0.278846154,29,39.9226,-75.2344
19141,109,72,37,0.339449541,37,40.0377,-75.1455
19140,198,162,36,0.181818182,36,40.0121,-75.1451
19139,181,152,29,0.160220994,29,39.9614,-75.2294
19138,97,69,28,0.288659794,28,40.056,-75.1592
19137,42,38,4,0,<5,39.9963,-75.0765
19136,126,111,15,0.119047619,15,40.0415,-75.0205
19135,100,83,17,0.17,17,40.0222,-75.0503
19134,216,178,38,0.175925926,38,39.9914,-75.1089
19133,100,69,31,0.31,31,39.9922,-75.1416
19132,164,134,30,0.182926829,30,39.996,-75.1744
19131,219,173,46,0.210045662,46,39.9885,-75.2187
19130,191,168,23,0.120418848,23,39.9686,-75.1777
19129,66,59,7,0.106060606,7,40.014,-75.1844
19128,211,185,26,0.123222749,26,40.0485,-75.2306
19127,38,33,5,0.131578947,5,40.0279,-75.2263
19126,56,46,10,0.178571429,10,40.0551,-75.1372
19125,139,115,24,0.172661871,24,39.9771,-75.1247
19124,196,155,41,0.209183673,41,40.0169,-75.0931
19123,122,102,20,0.163934426,20,39.9641,-75.1472
19122,85,71,14,0.164705882,14,39.9774,-75.1458
19121,146,123,23,0.157534247,23,39.9814,-75.1775
19120,173,135,38,0.219653179,38,40.0334,-75.1195
19119,121,94,27,0.223140496,27,40.0525,-75.1938
19118,79,68,11,0.139240506,11,40.0725,-75.213
19116,123,77,46,0.373983740,46,40.1165,-75.0129
19115,125,102,23,0.184,23,40.0918,-75.0447
19114,115,92,23,0.2,23,40.0685,-75.0048
19111,232,189,43,0.185344828,43,40.0616,-75.0792
19109,1,1,0,0,<5,39.9504,-75.1562
19107,183,158,25,0.136612022,25,39.9518,-75.1586
19106,110,97,13,0.118181818,13,39.9504,-75.1465
19104,220,176,44,0.2,44,39.9583,-75.1981
19103,248,198,50,0.201612903,50,39.953,-75.1743
19102,71,53,18,0.253521127,18,39.9526,-75.1654
