GEO_ID,NAME,zip,,P001001
8710000US4215364,ZCTA5,15364, Pennsylvania,869
8710000US4215366,ZCTA5,15366, Pennsylvania,164
8710000US4215361,ZCTA5,15361, Pennsylvania,151
8710000US4215362,ZCTA5,15362, Pennsylvania,767
8710000US4215367,ZCTA5,15367, Pennsylvania,8731
8710000US4215368,ZCTA5,15368, Pennsylvania,473
8710000US4215370,ZCTA5,15370, Pennsylvania,14870
8710000US4215376,ZCTA5,15376, Pennsylvania,1740
8710000US4215377,ZCTA5,15377, Pennsylvania,724
8710000US4215378,ZCTA5,15378, Pennsylvania,106
8710000US4215379,ZCTA5,15379, Pennsylvania,132
8710000US4215380,ZCTA5,15380, Pennsylvania,719
8710000US4215401,ZCTA5,15401, Pennsylvania,32288
8710000US4215410,ZCTA5,15410, Pennsylvania,905
8710000US4215411,ZCTA5,15411, Pennsylvania,661
8710000US4215412,ZCTA5,15412, Pennsylvania,470
8710000US4215413,ZCTA5,15413, Pennsylvania,551
8710000US4215417,ZCTA5,15417, Pennsylvania,9469
8710000US4215419,ZCTA5,15419, Pennsylvania,4492
8710000US4215420,ZCTA5,15420, Pennsylvania,251
8710000US4215421,ZCTA5,15421, Pennsylvania,112
8710000US4215422,ZCTA5,15422, Pennsylvania,220
8710000US4215423,ZCTA5,15423, Pennsylvania,1781
8710000US4215424,ZCTA5,15424, Pennsylvania,2489
8710000US4215425,ZCTA5,15425, Pennsylvania,19270
8710000US4215427,ZCTA5,15427, Pennsylvania,1091
8710000US4215428,ZCTA5,15428, Pennsylvania,1806
8710000US4215429,ZCTA5,15429, Pennsylvania,126
8710000US4215430,ZCTA5,15430, Pennsylvania,314
8710000US4215431,ZCTA5,15431, Pennsylvania,4744
8710000US4215432,ZCTA5,15432, Pennsylvania,427
8710000US4215433,ZCTA5,15433, Pennsylvania,741
8710000US4215434,ZCTA5,15434, Pennsylvania,313
8710000US4215435,ZCTA5,15435, Pennsylvania,437
8710000US4215436,ZCTA5,15436, Pennsylvania,2740
8710000US4215437,ZCTA5,15437, Pennsylvania,2573
8710000US4215443,ZCTA5,15443, Pennsylvania,377
8710000US4215438,ZCTA5,15438, Pennsylvania,2221
8710000US4215440,ZCTA5,15440, Pennsylvania,349
